,word,sentid,sentpos,wlen,surp,entropy,entred
369,arrangement,17,33,11,13.785965919494627,12.84360408782959,0.0
370,that,17,34,4,6.646649360656738,7.509059906005859,5.3345441818237305
371,was,17,35,3,7.306952476501465,10.815200805664062,0.0
372,distinctly,17,36,10,19.177988052368164,10.134806632995604,0.680394172668457
373,unfair,17,37,6,17.7972469329834,10.637868881225586,0.0
374,to,17,38,2,5.1477460861206055,8.668511390686035,1.9693574905395508
375,his,17,39,3,6.398566246032715,9.995909690856934,0.0
376,two,17,40,3,8.5343656539917,12.157654762268066,0.0
377,<unk>,17,41,5,25.84626579284668,11.690513610839844,0.4671411514282226
378,Their,18,0,5,12.86060905456543,13.10289478302002,0.0
379,<unk>,18,1,5,23.23224830627441,12.741646766662598,0.3612480163574219
380,<unk>,18,2,5,23.73963737487793,9.954556465148926,2.787090301513672
381,had,18,3,3,8.64655876159668,9.386079788208008,0.568476676940918
382,always,18,4,6,10.125178337097168,9.94796657562256,0.0
383,been,18,5,4,9.173797607421877,10.754894256591797,0.0
384,most,18,6,4,9.775663375854492,9.882869720458984,0.8720245361328125
385,generous,18,7,8,15.912860870361328,8.554183006286621,1.3286867141723633
386,to,18,8,2,5.624157905578613,11.191575050354004,0.0
387,<unk>,18,9,5,25.27748680114746,9.971358299255373,1.2202167510986328
388,<unk>,18,10,5,23.971954345703125,10.797947883605955,0.0
389,they,18,11,4,10.570499420166016,8.195720672607422,2.602227210998535
390,were,18,12,4,4.360076427459717,7.322545051574707,0.8731756210327148
391,so,18,13,2,9.158493995666504,9.891844749450684,0.0
392,young,18,14,5,13.509465217590332,7.682575225830078,2.209269523620605
393,at,18,15,2,8.401041984558105,11.691550254821776,0.0
394,the,18,16,3,1.9199645519256592,10.297060012817385,1.3944902420043943
395,time,18,17,4,8.312724113464355,13.12327766418457,0.0
396,of,18,18,2,2.5551044940948486,7.030538082122803,6.092739582061768
397,their,18,19,5,7.571036338806152,10.181917190551758,0.0
398,<unk>,18,20,5,25.82044792175293,12.155076026916504,0.0
399,remarriage,18,21,10,21.31482696533203,7.555388927459717,4.599687099456787
400,that,18,22,4,6.772701263427734,9.08290195465088,0.0
401,they,18,23,4,8.487993240356445,10.815340042114258,0.0
402,always,18,24,6,10.741928100585938,7.509249687194824,3.3060903549194336
403,thought,18,25,7,13.116514205932615,10.816109657287598,0.0
404,of,18,26,2,5.672002792358398,10.787105560302734,0.0290040969848632
405,her,18,27,3,7.094737529754639,9.562410354614258,1.2246952056884766
406,as,18,28,2,7.934113025665283,12.03154182434082,0.0
407,their,18,29,5,8.002891540527344,9.588749885559082,2.4427919387817383
408,own,18,30,3,6.345402240753174,12.15819263458252,0.0
409,<unk>,18,31,5,25.51998519897461,11.677050590515137,0.4811420440673828
410,<unk>,19,0,5,22.81322860717773,13.10289478302002,0.0
411,the,19,1,3,5.757648468017578,10.164562225341797,2.9383325576782227
412,<unk>,19,2,5,23.46930313110352,13.101564407348633,0.0
413,had,19,3,3,8.53777027130127,10.092286109924316,3.0092782974243164
